Category: All categories

Day,zoom: (Worldwide),covid test: (Worldwide),google meet: (Worldwide)
2020-11-01,52,28,8
2020-11-02,86,39,17
2020-11-03,89,36,19
2020-11-04,80,29,18
2020-11-05,84,34,18
2020-11-06,82,33,18
2020-11-07,60,28,10
2020-11-08,55,28,8
2020-11-09,96,40,22
2020-11-10,100,38,21
2020-11-11,93,37,18
2020-11-12,99,40,20
2020-11-13,83,40,16
2020-11-14,60,34,8
2020-11-15,55,34,7
2020-11-16,87,44,17
2020-11-17,95,44,21
2020-11-18,99,45,21
2020-11-19,95,42,21
2020-11-20,87,43,18
2020-11-21,64,39,11
2020-11-22,60,37,8
2020-11-23,93,46,19
2020-11-24,94,40,19
2020-11-25,93,40,18
2020-11-26,92,30,16
2020-11-27,83,31,14
2020-11-28,59,31,9
2020-11-29,55,31,6
2020-11-30,89,38,17
2020-12-01,92,35,18
2020-12-02,89,36,19
2020-12-03,91,37,18
2020-12-04,85,37,16
2020-12-05,60,33,10
2020-12-06,54,32,7
2020-12-07,86,41,17
2020-12-08,86,39,15
2020-12-09,87,40,17
2020-12-10,89,44,17
2020-12-11,82,40,16
2020-12-12,58,37,8
2020-12-13,51,36,7
2020-12-14,85,46,24
2020-12-15,84,46,18
2020-12-16,88,48,16
2020-12-17,89,46,16
2020-12-18,82,52,14
2020-12-19,56,49,8
2020-12-20,54,50,5
2020-12-21,69,59,11
2020-12-22,70,57,10
2020-12-23,66,57,9
2020-12-24,60,42,7
2020-12-25,70,30,6
2020-12-26,48,39,4
2020-12-27,45,37,4
2020-12-28,51,47,6
2020-12-29,54,47,7
2020-12-30,52,50,6
2020-12-31,51,46,6
2021-01-01,41,37,4
2021-01-02,40,40,5
2021-01-03,45,43,6
2021-01-04,71,50,15
2021-01-05,77,47,17
2021-01-06,75,43,15
2021-01-07,82,43,16
2021-01-08,73,44,15
2021-01-09,55,38,8
2021-01-10,56,35,7
2021-01-11,92,43,18
2021-01-12,92,41,18
2021-01-13,91,43,16
2021-01-14,90,42,15
2021-01-15,84,40,15
2021-01-16,59,33,9
2021-01-17,55,30,7
2021-01-18,79,39,16
2021-01-19,90,38,19
2021-01-20,94,34,20
2021-01-21,93,35,19
2021-01-22,85,35,16
2021-01-23,59,31,10
2021-01-24,53,28,8
2021-01-25,82,35,19
2021-01-26,87,34,17
2021-01-27,89,34,17
2021-01-28,88,34,16
2021-01-29,82,32,16
2021-01-30,60,29,9
2021-01-31,57,29,8
2021-02-01,85,34,19
2021-02-02,91,32,19
2021-02-03,92,32,18
2021-02-04,91,30,18
2021-02-05,84,30,16
2021-02-06,60,25,9
2021-02-07,50,24,8
2021-02-08,81,30,19
2021-02-09,91,29,19
2021-02-10,99,29,17
2021-02-11,88,28,16
2021-02-12,81,28,14
2021-02-13,58,23,8
2021-02-14,51,21,6
2021-02-15,74,28,13
2021-02-16,79,27,15
2021-02-17,87,26,15
2021-02-18,89,25,16
2021-02-19,81,26,15
2021-02-20,61,22,9
2021-02-21,53,24,7
2021-02-22,84,28,17
2021-02-23,86,28,18
2021-02-24,85,28,17
2021-02-25,85,27,15
2021-02-26,77,25,14
2021-02-27,54,23,9
2021-02-28,50,24,8
2021-03-01,79,30,17
2021-03-02,87,28,18
2021-03-03,86,29,17
2021-03-04,84,29,18
2021-03-05,75,28,14
2021-03-06,51,23,9
2021-03-07,48,27,7
2021-03-08,78,32,18
2021-03-09,82,28,18
2021-03-10,78,28,17
2021-03-11,79,31,14
2021-03-12,69,27,13
2021-03-13,52,25,8
2021-03-14,47,27,6
2021-03-15,70,31,15
2021-03-16,74,30,17
2021-03-17,80,33,17
2021-03-18,77,33,17
2021-03-19,68,30,15
2021-03-20,49,28,8
2021-03-21,45,34,7
2021-03-22,74,38,17
2021-03-23,76,35,17
2021-03-24,77,38,16
2021-03-25,76,38,16
2021-03-26,72,34,15
2021-03-27,56,31,8
2021-03-28,44,36,6
2021-03-29,64,41,12
2021-03-30,65,39,13
2021-03-31,66,41,13
2021-04-01,62,40,10
2021-04-02,45,35,6
2021-04-03,40,34,6
2021-04-04,37,30,6
2021-04-05,63,41,13
2021-04-06,72,39,14
2021-04-07,73,39,15
2021-04-08,73,39,15
2021-04-09,62,38,13
2021-04-10,47,34,8
2021-04-11,44,39,7
2021-04-12,72,42,16
2021-04-13,78,40,15
2021-04-14,75,40,15
2021-04-15,76,39,15
2021-04-16,70,38,14
2021-04-17,48,35,8
2021-04-18,42,40,7
2021-04-19,75,44,16
2021-04-20,82,39,17
2021-04-21,77,42,14
2021-04-22,75,40,15
2021-04-23,68,37,14
2021-04-24,46,34,8
2021-04-25,43,37,7
2021-04-26,74,41,17
2021-04-27,77,38,15
2021-04-28,77,40,16
2021-04-29,74,38,15
2021-04-30,66,35,13
