Category: All categories

Day,zoom: (Worldwide),covid test: (Worldwide),google meet: (Worldwide)
2020-06-01,77,7,13
2020-06-02,80,7,13
2020-06-03,77,6,13
2020-06-04,75,7,13
2020-06-05,70,6,12
2020-06-06,50,6,6
2020-06-07,47,6,5
2020-06-08,66,8,13
2020-06-09,67,8,13
2020-06-10,70,8,13
2020-06-11,67,8,11
2020-06-12,64,8,10
2020-06-13,46,7,6
2020-06-14,42,6,5
2020-06-15,59,8,12
2020-06-16,66,9,12
2020-06-17,65,9,12
2020-06-18,66,10,11
2020-06-19,62,9,10
2020-06-20,45,8,6
2020-06-21,37,7,5
2020-06-22,59,11,11
2020-06-23,61,10,10
2020-06-24,59,11,11
2020-06-25,61,12,11
2020-06-26,55,12,10
2020-06-27,40,10,5
2020-06-28,37,10,5
2020-06-29,53,14,9
2020-06-30,57,14,10
2020-07-01,55,13,10
2020-07-02,55,13,10
2020-07-03,47,12,9
2020-07-04,37,10,6
2020-07-05,35,9,6
2020-07-06,51,15,10
2020-07-07,54,14,10
2020-07-08,56,14,10
2020-07-09,55,14,10
2020-07-10,52,14,9
2020-07-11,40,12,6
2020-07-12,38,13,6
2020-07-13,56,15,11
2020-07-14,56,15,11
2020-07-15,57,16,11
2020-07-16,55,15,11
2020-07-17,52,15,10
2020-07-18,39,12,6
2020-07-19,37,11,6
2020-07-20,52,15,11
2020-07-21,55,15,10
2020-07-22,55,14,10
2020-07-23,52,13,10
2020-07-24,47,14,9
2020-07-25,36,11,6
2020-07-26,34,11,5
2020-07-27,52,15,11
2020-07-28,51,14,11
2020-07-29,53,14,10
2020-07-30,50,14,9
2020-07-31,44,13,8
2020-08-01,35,11,5
2020-08-02,31,11,5
2020-08-03,50,15,10
2020-08-04,54,14,12
2020-08-05,55,14,11
2020-08-06,55,14,12
2020-08-07,49,13,11
2020-08-08,37,11,6
2020-08-09,35,11,6
2020-08-10,57,14,13
2020-08-11,62,14,13
2020-08-12,59,13,13
2020-08-13,62,13,14
2020-08-14,55,14,12
2020-08-15,37,12,6
2020-08-16,38,12,7
2020-08-17,71,15,18
2020-08-18,74,14,17
2020-08-19,70,13,17
2020-08-20,73,14,17
2020-08-21,65,13,16
2020-08-22,40,12,7
2020-08-23,40,11,8
2020-08-24,100,16,26
2020-08-25,81,14,22
2020-08-26,78,14,22
2020-08-27,75,15,20
2020-08-28,68,14,19
2020-08-29,41,12,7
2020-08-30,42,12,6
2020-08-31,79,15,21
2020-09-01,91,14,22
2020-09-02,88,15,22
2020-09-03,80,15,22
2020-09-04,70,14,19
2020-09-05,43,14,8
2020-09-06,38,14,7
2020-09-07,59,18,15
2020-09-08,85,20,28
2020-09-09,84,21,25
2020-09-10,80,20,24
2020-09-11,69,19,22
2020-09-12,43,18,8
2020-09-13,39,17,7
2020-09-14,77,26,25
2020-09-15,78,24,24
2020-09-16,75,23,24
2020-09-17,75,20,24
2020-09-18,68,18,21
2020-09-19,40,14,8
2020-09-20,38,14,7
2020-09-21,75,20,24
2020-09-22,78,18,23
2020-09-23,79,19,23
2020-09-24,77,17,23
2020-09-25,66,16,17
2020-09-26,39,13,7
2020-09-27,35,12,6
2020-09-28,61,18,16
2020-09-29,68,16,17
2020-09-30,66,15,18
2020-10-01,65,16,18
2020-10-02,57,22,15
2020-10-03,36,16,7
2020-10-04,35,16,7
2020-10-05,67,21,18
2020-10-06,66,20,19
2020-10-07,66,19,17
2020-10-08,60,18,16
2020-10-09,50,18,10
2020-10-10,34,15,6
2020-10-11,30,15,5
2020-10-12,48,19,10
2020-10-13,56,19,11
2020-10-14,56,18,12
2020-10-15,56,18,11
2020-10-16,48,18,10
2020-10-17,32,16,6
2020-10-18,31,15,5
2020-10-19,55,19,11
2020-10-20,60,20,11
2020-10-21,57,21,11
2020-10-22,57,22,11
2020-10-23,47,20,9
2020-10-24,31,17,5
2020-10-25,31,16,5
2020-10-26,51,23,11
2020-10-27,54,21,12
2020-10-28,53,21,11
2020-10-29,50,20,11
2020-10-30,48,20,10
2020-10-31,31,17,5
2020-11-01,31,16,5
2020-11-02,50,23,10
2020-11-03,50,20,11
2020-11-04,47,17,10
2020-11-05,49,19,11
2020-11-06,48,20,10
2020-11-07,35,16,5
2020-11-08,31,17,5
2020-11-09,55,23,12
2020-11-10,57,21,12
2020-11-11,54,22,11
2020-11-12,57,23,12
2020-11-13,49,23,10
2020-11-14,33,19,4
2020-11-15,32,19,4
2020-11-16,49,25,10
2020-11-17,54,24,12
2020-11-18,56,26,12
2020-11-19,55,25,12
2020-11-20,50,24,11
2020-11-21,37,22,6
2020-11-22,35,21,5
2020-11-23,54,26,11
2020-11-24,54,24,11
2020-11-25,53,23,10
2020-11-26,54,17,9
2020-11-27,48,17,8
2020-11-28,34,17,5
2020-11-29,31,17,3
2020-11-30,53,23,10
