Category: All categories

Day,microsoft teams: (Worldwide),skype: (Worldwide),google meet: (Worldwide)
2020-01-01,1,8,<1
2020-01-02,2,12,<1
2020-01-03,2,12,<1
2020-01-04,1,9,<1
2020-01-05,1,9,<1
2020-01-06,3,14,1
2020-01-07,4,15,1
2020-01-08,3,15,1
2020-01-09,4,15,1
2020-01-10,3,14,1
2020-01-11,1,9,<1
2020-01-12,1,9,1
2020-01-13,3,15,1
2020-01-14,3,15,1
2020-01-15,4,16,1
2020-01-16,4,15,1
2020-01-17,3,15,1
2020-01-18,1,8,<1
2020-01-19,1,9,<1
2020-01-20,3,15,1
2020-01-21,4,15,1
2020-01-22,4,15,1
2020-01-23,4,14,1
2020-01-24,3,13,1
2020-01-25,1,9,<1
2020-01-26,1,9,<1
2020-01-27,4,14,1
2020-01-28,4,16,1
2020-01-29,4,14,1
2020-01-30,4,15,1
2020-01-31,4,13,1
2020-02-01,1,9,<1
2020-02-02,1,9,<1
2020-02-03,9,15,1
2020-02-04,5,17,1
2020-02-05,5,16,1
2020-02-06,4,17,1
2020-02-07,3,16,1
2020-02-08,1,9,<1
2020-02-09,1,9,<1
2020-02-10,4,15,1
2020-02-11,5,16,1
2020-02-12,4,16,1
2020-02-13,5,16,1
2020-02-14,4,14,1
2020-02-15,1,8,<1
2020-02-16,1,10,<1
2020-02-17,4,15,1
2020-02-18,5,16,1
2020-02-19,5,17,1
2020-02-20,4,15,1
2020-02-21,4,14,1
2020-02-22,1,9,<1
2020-02-23,1,9,1
2020-02-24,4,16,1
2020-02-25,4,16,1
2020-02-26,4,16,1
2020-02-27,5,16,1
2020-02-28,4,15,1
2020-02-29,1,9,<1
2020-03-01,1,10,1
2020-03-02,5,17,2
2020-03-03,6,18,2
2020-03-04,6,19,2
2020-03-05,7,20,2
2020-03-06,6,21,3
2020-03-07,2,12,2
2020-03-08,2,14,2
2020-03-09,8,26,6
2020-03-10,9,28,6
2020-03-11,11,30,7
2020-03-12,12,37,10
2020-03-13,16,44,11
2020-03-14,7,36,5
2020-03-15,11,46,6
2020-03-16,36,86,20
2020-03-17,40,98,24
2020-03-18,43,97,26
2020-03-19,45,97,28
2020-03-20,40,93,26
2020-03-21,18,78,11
2020-03-22,22,77,11
2020-03-23,53,100,34
2020-03-24,52,98,32
2020-03-25,49,91,30
2020-03-26,47,85,30
2020-03-27,39,77,29
2020-03-28,17,64,12
2020-03-29,19,58,12
2020-03-30,49,74,36
2020-03-31,48,71,37
2020-04-01,45,70,37
2020-04-02,45,68,37
2020-04-03,36,66,35
2020-04-04,15,53,14
2020-04-05,17,48,12
2020-04-06,43,61,36
2020-04-07,38,61,37
2020-04-08,39,57,37
2020-04-09,33,54,31
2020-04-10,21,49,19
2020-04-11,12,41,12
2020-04-12,13,44,13
2020-04-13,29,47,31
2020-04-14,42,52,42
2020-04-15,43,51,46
2020-04-16,41,51,42
2020-04-17,36,49,41
2020-04-18,16,39,16
2020-04-19,20,35,17
2020-04-20,46,50,51
2020-04-21,44,47,50
2020-04-22,46,49,50
2020-04-23,42,47,47
2020-04-24,38,44,42
2020-04-25,16,33,15
2020-04-26,15,31,15
2020-04-27,42,42,45
2020-04-28,42,42,45
2020-04-29,39,42,50
2020-04-30,36,36,52
2020-05-01,23,31,31
2020-05-02,12,28,16
2020-05-03,14,25,17
2020-05-04,36,36,42
2020-05-05,36,36,42
2020-05-06,36,36,47
2020-05-07,34,34,46
2020-05-08,28,30,41
2020-05-09,13,23,18
2020-05-10,13,23,15
2020-05-11,36,33,45
2020-05-12,35,35,47
2020-05-13,35,33,48
2020-05-14,33,31,45
2020-05-15,29,29,38
2020-05-16,12,19,19
2020-05-17,13,19,19
2020-05-18,32,27,40
2020-05-19,32,30,43
2020-05-20,31,30,42
2020-05-21,29,26,40
2020-05-22,23,25,35
2020-05-23,9,17,17
2020-05-24,8,16,13
2020-05-25,21,22,28
2020-05-26,28,27,40
2020-05-27,29,26,39
2020-05-28,29,27,40
2020-05-29,25,22,36
2020-05-30,11,16,17
2020-05-31,11,15,15
2020-06-01,27,21,36
2020-06-02,29,24,35
2020-06-03,29,24,35
2020-06-04,27,23,35
2020-06-05,24,21,34
2020-06-06,10,14,16
2020-06-07,10,15,14
2020-06-08,26,22,34
2020-06-09,27,22,34
2020-06-10,26,22,36
2020-06-11,26,21,32
2020-06-12,21,19,26
2020-06-13,10,14,15
2020-06-14,10,14,13
2020-06-15,26,19,32
2020-06-16,25,23,31
2020-06-17,26,21,33
2020-06-18,25,22,31
2020-06-19,20,20,27
2020-06-20,8,14,16
2020-06-21,9,13,13
2020-06-22,25,21,30
2020-06-23,25,21,29
2020-06-24,23,20,29
2020-06-25,24,19,28
2020-06-26,19,17,26
2020-06-27,8,12,15
2020-06-28,8,12,12
2020-06-29,22,19,26
2020-06-30,22,20,28
