Category: All categories

Day,zoom: (Worldwide),covid test: (Worldwide),google meet: (Worldwide)
2019-10-01,53,0,2
2019-10-02,55,0,2
2019-10-03,58,0,1
2019-10-04,55,0,2
2019-10-05,47,0,1
2019-10-06,46,0,1
2019-10-07,56,0,1
2019-10-08,58,0,2
2019-10-09,60,0,2
2019-10-10,57,0,2
2019-10-11,55,0,2
2019-10-12,48,0,<1
2019-10-13,46,0,1
2019-10-14,55,0,1
2019-10-15,58,0,2
2019-10-16,60,0,2
2019-10-17,59,0,2
2019-10-18,58,0,1
2019-10-19,48,0,<1
2019-10-20,47,0,1
2019-10-21,60,0,1
2019-10-22,63,0,1
2019-10-23,57,0,1
2019-10-24,56,0,2
2019-10-25,56,0,2
2019-10-26,45,0,1
2019-10-27,47,0,1
2019-10-28,58,0,1
2019-10-29,57,0,2
2019-10-30,57,0,2
2019-10-31,55,0,1
2019-11-01,52,0,1
2019-11-02,49,0,1
2019-11-03,50,0,1
2019-11-04,54,0,2
2019-11-05,58,0,1
2019-11-06,60,0,1
2019-11-07,55,0,1
2019-11-08,54,0,2
2019-11-09,46,0,1
2019-11-10,47,0,1
2019-11-11,61,0,2
2019-11-12,59,0,1
2019-11-13,63,0,2
2019-11-14,61,0,2
2019-11-15,69,0,1
2019-11-16,64,0,1
2019-11-17,58,0,1
2019-11-18,64,0,2
2019-11-19,63,0,2
2019-11-20,64,0,2
2019-11-21,58,0,2
2019-11-22,57,0,2
2019-11-23,47,0,1
2019-11-24,51,0,1
2019-11-25,60,0,2
2019-11-26,61,0,2
2019-11-27,65,0,1
2019-11-28,72,0,1
2019-11-29,100,0,1
2019-11-30,62,0,<1
2019-12-01,55,0,<1
2019-12-02,62,0,2
2019-12-03,61,0,2
2019-12-04,60,0,1
2019-12-05,60,0,2
2019-12-06,56,0,1
2019-12-07,57,0,1
2019-12-08,50,0,<1
2019-12-09,63,0,1
2019-12-10,56,0,2
2019-12-11,53,0,2
2019-12-12,56,0,2
2019-12-13,61,0,1
2019-12-14,49,0,1
2019-12-15,50,0,1
2019-12-16,59,0,1
2019-12-17,57,0,2
2019-12-18,54,0,2
2019-12-19,54,0,2
2019-12-20,54,0,1
2019-12-21,44,0,1
2019-12-22,43,0,<1
2019-12-23,54,0,1
2019-12-24,46,0,<1
2019-12-25,51,0,1
2019-12-26,51,0,1
2019-12-27,53,0,1
2019-12-28,48,0,1
2019-12-29,45,0,1
2019-12-30,51,0,1
2019-12-31,43,0,<1
2020-01-01,42,0,<1
2020-01-02,53,0,1
2020-01-03,55,0,1
2020-01-04,47,0,<1
2020-01-05,46,0,1
2020-01-06,56,0,2
2020-01-07,57,0,1
2020-01-08,58,0,2
2020-01-09,56,0,2
2020-01-10,57,0,1
2020-01-11,49,0,1
2020-01-12,52,0,1
2020-01-13,58,0,1
2020-01-14,61,0,2
2020-01-15,59,0,1
2020-01-16,61,0,2
2020-01-17,59,0,1
2020-01-18,49,0,1
2020-01-19,45,0,1
2020-01-20,59,0,1
2020-01-21,63,0,2
2020-01-22,59,0,2
2020-01-23,57,0,2
2020-01-24,56,0,2
2020-01-25,48,0,<1
2020-01-26,45,0,1
2020-01-27,58,0,1
2020-01-28,58,0,1
2020-01-29,56,0,2
2020-01-30,58,0,2
2020-01-31,57,0,2
