Day,TeamsSearch,SkypeSearch,MeetSearch,ZoomSearch,CovidSearch,CovidNewCases,PriceGOOGL,PriceMSFT,PriceZM
2019-10-01,16,100,3.540650406504065,108.15447154471543,0,0,1206,137.070007,75.809998
2019-10-02,17,83,3.540650406504065,112.23577235772358,0,0,1177.920044,134.649994,73.849998
2019-10-03,15,81,2.5203252032520327,118.35772357723576,0,0,1189.430054,136.279999,76.830002
2019-10-04,14,73,3.540650406504065,112.23577235772358,0,0,1210.959961,138.119995,76.529999
2019-10-05,5,40,2.0203252032520327,95.91056910569105,0,0,NA,NA,NA
2019-10-06,4,48,1.5203252032520325,93.86991869918698,0,0,NA,NA,NA
2019-10-07,16,73,3.0203252032520327,114.27642276422763,0,0,1208.25,137.119995,76.989998
2019-10-08,17,87,4.040650406504065,118.35772357723576,0,0,1190.130005,135.669998,73.589996
2019-10-09,17,83,4.040650406504065,122.4390243902439,0,0,1202.400024,138.240005,72.860001
2019-10-10,18,92,4.040650406504065,116.3170731707317,0,0,1209.469971,139.100006,71.010002
2019-10-11,14,79,3.540650406504065,112.23577235772358,0,0,1215.709961,139.679993,71.349998
2019-10-12,4,54,1.0101626016260163,97.95121951219511,0,0,NA,NA,NA
2019-10-13,3,55,1.5203252032520325,93.86991869918698,0,0,NA,NA,NA
2019-10-14,18,75,3.0203252032520327,112.23577235772358,0,0,1217.77002,139.550003,70.800003
2019-10-15,17,86,3.540650406504065,118.35772357723576,0,0,1242.23999,141.570007,71.110001
2019-10-16,18,80,3.540650406504065,122.4390243902439,0,0,1243,140.410004,67.690002
2019-10-17,19,83,3.540650406504065,120.39837398373983,0,0,1252.800049,139.690002,67.029999
2019-10-18,14,73,2.5203252032520327,118.35772357723576,0,0,1244.410034,137.410004,66.080002
2019-10-19,3,46,1.0101626016260163,97.95121951219511,0,0,NA,NA,NA
2019-10-20,5,51,2.0203252032520327,95.91056910569105,0,0,NA,NA,NA
2019-10-21,15,79,3.0203252032520327,122.4390243902439,0,0,1244.280029,138.429993,65.769997
2019-10-22,15,76,2.5203252032520327,128.5609756097561,0,0,1241.199951,136.369995,62
2019-10-23,20,76,2.5203252032520327,116.3170731707317,0,0,1257.630005,137.240005,62.060001
2019-10-24,12,78,3.540650406504065,114.27642276422763,0,0,1259.109985,139.940002,64.519997
2019-10-25,14,70,3.540650406504065,114.27642276422763,0,0,1264.300049,140.729996,63.450001
2019-10-26,4,50,1.5203252032520325,91.82926829268293,0,0,NA,NA,NA
2019-10-27,5,47,1.5203252032520325,95.91056910569105,0,0,NA,NA,NA
2019-10-28,14,78,2.5203252032520327,118.35772357723576,0,0,1288.97998,144.190002,66.559998
2019-10-29,16,76,4.040650406504065,116.3170731707317,0,0,1260.660034,142.830002,65.489998
2019-10-30,18,77,3.540650406504065,116.3170731707317,0,0,1260.699951,144.610001,70
2019-10-31,17,76,2.0203252032520327,112.23577235772358,0,0,1258.800049,143.369995,69.889999
2019-11-01,13,64,2.0203252032520327,106.11382113821138,0,0,1272.25,143.720001,70.389999
2019-11-02,4,45,1.5203252032520325,99.99186991869918,0,0,NA,NA,NA
2019-11-03,3,48,1.5203252032520325,102.03252032520325,0,0,NA,NA,NA
2019-11-04,16,83,4.040650406504065,110.1951219512195,0,0,1289.609985,144.550003,70.120003
2019-11-05,17,79,2.0203252032520327,118.35772357723576,0,0,1291.439941,144.460007,66.889999
2019-11-06,19,89,2.5203252032520327,122.4390243902439,0,0,1291.01001,144.059998,66.830002
2019-11-07,18,84,2.5203252032520327,112.23577235772358,0,0,1306.939941,144.259995,66.809998
2019-11-08,14,76,3.540650406504065,110.1951219512195,0,0,1309,145.960007,69.849998
2019-11-09,5,45,2.0203252032520327,93.86991869918698,0,0,NA,NA,NA
2019-11-10,3,47,1.5203252032520325,95.91056910569105,0,0,NA,NA,NA
2019-11-11,15,75,3.540650406504065,124.47967479674796,0,0,1298.280029,146.110001,68.389999
2019-11-12,18,82,2.5203252032520327,120.39837398373983,0,0,1297.209961,147.070007,68
2019-11-13,17,79,3.540650406504065,128.5609756097561,0,0,1296.180054,147.309998,68.010002
2019-11-14,16,81,4.040650406504065,124.47967479674796,0,0,1309.150024,148.059998,67.739998
2019-11-15,15,78,2.5203252032520327,140.80487804878047,0,0,1333.540039,149.970001,70.010002
2019-11-16,4,51,1.5203252032520325,130.60162601626016,0,0,NA,NA,NA
2019-11-17,5,52,2.0203252032520327,118.35772357723576,0,0,NA,NA,NA
2019-11-18,16,91,3.540650406504065,130.60162601626016,0,0,1319.839966,150.339996,70.080002
2019-11-19,14,83,4.040650406504065,128.5609756097561,0,0,1312.589966,150.389999,69.639999
2019-11-20,23,90,4.040650406504065,130.60162601626016,0,0,1301.859985,149.619995,70.989998
2019-11-21,18,86,4.540650406504065,118.35772357723576,0,0,1300.140015,149.479996,69.919998
2019-11-22,16,76,3.540650406504065,116.3170731707317,0,0,1293.670044,149.589996,73.160004
2019-11-23,4,49,2.0203252032520327,95.91056910569105,0,0,NA,NA,NA
2019-11-24,3,49,2.0203252032520327,104.07317073170731,0,0,NA,NA,NA
2019-11-25,16,75,3.540650406504065,122.4390243902439,0,0,1305.640015,151.229996,74.550003
2019-11-26,18,76,4.040650406504065,124.47967479674796,0,0,1313,152.029999,75.160004
2019-11-27,17,84,2.5203252032520327,132.6422764227642,0,0,1312.130005,152.320007,74.080002
2019-11-28,12,66,1.5203252032520325,146.92682926829266,0,0,NA,NA,NA
2019-11-29,10,62,2.0203252032520327,204.0650406504065,0,0,1304.089966,151.380005,74.5
